player,field,from,to,source
Khyiris Tonga,rating,82,73,
Adam Butler,rating,64,73,
Skyy Moore,rating,66,72,
Jordan Whittington,rating,66,72,
Jonathan Owens,rating,62,71,
Deshaun Watson,rating,64,70,
Caleb Rogers,rating,64,70,
Phidarian Mathis,rating,60,69,
Barrett Carter,rating,63,69,
Isaiah Bond,rating,78,69,
Josh Whyle,rating,63,69,
Elijah Higgins,rating,74,68,
Chukwuma Okorafor,rating,76,67,
Tyler Owens,rating,58,67,
Jordan McFadden,rating,57,66,
Warren Brinson,rating,57,66,
Tanner McKee,rating,75,66,
Michael Jerrell,rating,74,65,
Brock Wright,rating,56,65,
Travis Glover,rating,73,64,
Marcus Bryant,rating,73,64,
Brandon Crenshaw-Dickson,rating,70,61,
Matthew Stafford,rating,89,99,
Christian Gonzalez,rating,88,98,
Creed Humphrey,rating,88,95,
Travis Kelce,rating,85,92,
Kevin Dotson,rating,83,90,
Byron Murphy II,rating,92,85,
Dalton Kincaid,rating,76,83,
Abraham Lucas,rating,76,83,
Baker Mayfield,rating,73,83,
Jerry Jeudy,rating,71,81,
Isaiah Rodgers,rating,71,81,
Divine Deablo,rating,70,80,
Kamren Kinchens,rating,73,80,
Kelvin Banks Jr.,rating,68,78,
Josh Jobe,rating,68,78,
Benjamin St-Juste,rating,70,77,
Jonas Sanker,rating,70,77,
Adonai Mitchell,rating,70,77,
Tress Way,rating,67,77,
Cesar Ruiz,rating,66,76,
Asante Samuel Jr.,rating,69,76,
Donovan Ezeiruaku,rating,82,75,
Donovan Ezeiruaku,position,DE,MLB,
Tyquan Thornton,rating,65,75,
Kenneth Grant,rating,68,75,
Marcus Epps,rating,65,75,
Cade Mays,rating,64,74,
Austin Booker,rating,63,73,
Myles Murphy,rating,63,73,
Wyatt Milum,rating,81,71,
Alec Anderson,rating,73,66,
Alec Anderson,position,OG,OT,
John Bates,rating,73,66,
Kurtis Rourke,rating,70,63,
Treyton Welch,rating,71,61,
Laremy Tunsil,rating,83,94,
Kolton Miller,rating,83,91,
Brian O'Neill,rating,79,87,
Foye Oluokun,rating,75,86,
Chris Boswell,rating,97,86,
Ryan Neuzil,rating,73,84,
DJ Turner II,rating,73,84,
Grant Delpit,rating,74,82,
Dominick Puni,rating,71,82,
Tre'von Moehrig,rating,70,81,
T.J. Edwards,rating,70,81,
T.J. Edwards,position,OLB,MLB,
Travon Walker,rating,69,80,
James Pearce Jr.,rating,71,79,
James Pearce Jr.,position,DE,MLB,
Kristian Fulton,rating,69,77,
Harrison Mevis,rating,87,76,
Jaylin Lane,rating,64,75,
Austin Hooper,rating,82,74,
Daniel Whelan,rating,85,74,
Jack Gibbens,rating,84,73,
Colby Parkinson,rating,84,73,
Malik Washington,rating,65,73,
Roy Lopez,rating,61,72,
Cole Strange,rating,61,72,
Jonathan Jones,rating,80,72,
Jake Tonges,rating,83,72,
SirVocea Dennis,rating,61,72,
Konata Mumpfield,rating,63,71,
Brandon Coleman,rating,63,71,
Brandon Coleman,position,OT,OG,
Greg Dulcich,rating,81,70,
Adin Huntington,rating,76,65,
Adin Huntington,position,DT,DE,
Grant Stuard,rating,56,64,
Grant Stuard,position,OLB,MLB,
Ethan Downs,rating,71,63,
Ethan Downs,position,DE,MLB,
Andrew Meyer,rating,73,62,
Vita Vea,rating,82,94,
Hunter Henry,rating,74,86,
Brandon Jones,rating,71,83,
Grover Stewart,rating,74,83,
Marcus Jones,rating,73,82,
Montez Sweat,rating,72,81,
Craig Woodson,rating,69,81,
Javon Hargrave,rating,68,80,
JC Latham,rating,68,80,
Zaire Franklin,rating,67,79,
Maliek Collins,rating,65,77,
Osa Odighizuwa,rating,89,77,
Renardo Green,rating,65,77,
KaVontae Turpin,rating,64,76,
Kool-Aid McKinstry,rating,85,76,
Mike Sainristil,rating,66,75,
Darien Porter,rating,62,74,
Xavier Hutchinson,rating,61,73,
Austin Jackson,rating,61,73,
Ashton Dulin,rating,60,72,
Anthony Bradford,rating,60,72,
Nick Allegretti,rating,60,72,
Nick Allegretti,position,C,OG,
Ashton Jeanty,rating,73,86,
Kaden Elliss,rating,70,83,
Kaden Elliss,position,OLB,MLB,
Rasheed Walker,rating,68,81,
Evan McPherson,rating,68,81,
Zyon McCollum,rating,67,80,
Alohi Gilman,rating,69,79,
Ed Ingram,rating,65,78,
Cody Barton,rating,65,78,
Alontae Taylor,rating,65,78,
Jarvis Brownlee Jr.,rating,63,76,
Matt Gay,rating,62,75,
Brandin Echols,rating,65,75,
Marques Sigle,rating,61,74,
Tez Johnson,rating,60,73,
Graham Mertz,rating,73,60,
Antoine Winfield Jr.,rating,79,93,
Carlton Davis III,rating,71,85,
Daron Payne,rating,70,84,
Jakobi Meyers,rating,68,82,
Josh Simmons,rating,67,81,
Josh Simmons,teamID,KC,Free Agent,espn-demote
Bryce Baringer,rating,92,78,
Benjamin Morrison,rating,61,75,
T.J. Sanders,rating,59,73,
Shavon Revel Jr.,rating,61,72,
Cole Van Lanen,rating,86,72,
Isaiah Pola-Mao,rating,57,71,
Xavier McKinney,rating,77,92,
Charvarius Ward,rating,73,88,
Jeremiah Owusu-Koramoah,rating,71,83,
Jeremiah Owusu-Koramoah,position,OLB,MLB,
Mack Wilson,rating,66,81,
Nick Cross,rating,69,81,
J.K. Scott,rating,92,80,
Jake Elliott,rating,64,79,
Bradley Pinion,rating,92,77,
Chad Ryland,rating,63,75,
Emmanuel Forbes,rating,60,75,
Kerby Joseph,rating,75,91,
Jake Matthews,rating,72,88,
Mike Onwenu,rating,70,86,
Parker Washington,rating,67,83,
Kam Curl,rating,67,83,
Armand Membou,rating,67,83,
Christian Benford,rating,69,82,
Quentin Lake,rating,66,82,
Grady Jarrett,rating,65,81,
Grady Jarrett,position,DT,DE,
Cam Little,rating,96,80,
Joe Tippmann,rating,64,80,
Joe Tippmann,position,OG,C,
Zion Johnson,rating,62,78,
Pete Werner,rating,62,75,
Dorian Williams,rating,58,74,
Dorian Williams,position,OLB,MLB,
Aaron Banks,rating,86,73,
Riley Patterson,rating,85,72,
Alfred Collins,rating,59,72,
Trey Smith,rating,74,91,
Joey Porter Jr.,rating,68,85,
Byron Murphy,rating,67,84,
Rigoberto Sanchez,rating,69,83,
Alijah Vera-Tucker,rating,66,83,
Cam Taylor-Britt,rating,67,81,
Austin McNamara,rating,90,73,
Drue Tranquill,rating,71,89,
Drue Tranquill,position,OLB,MLB,
Quan Martin,rating,59,77,
Jaylon Johnson,rating,70,89,
Tyler Smith,rating,70,89,
Terrel Bernard,rating,65,84,
Deommodore Lenoir,rating,65,81,
Jake Bates,rating,95,76,
Jon Runyan,rating,55,74,
Denzel Ward,rating,72,93,
Riley Moss,rating,57,78,
Kris Jenkins,rating,56,74,
Demetrius Knight Jr.,rating,52,73,
Demetrius Knight Jr.,position,OLB,MLB,
Andre Szmyt,rating,89,71,
Courtland Sutton,rating,68,87,
Calen Bullock,rating,61,84,
Jordan Stout,rating,99,76,
Bryan Bresee,rating,54,75,
Davon Godchaux,rating,53,78,
Jer'Zhan Newton,rating,51,76,
A.J. Terrell,rating,65,88,
Myles Garrett,teamID,CLE,LAR,espn
Kayshon Boutte,teamID,NE,HOU,espn
Monroe Freeling,teamID,Rookie,CAR,espn
Markquese Bell,teamID,Free Agent,DAL,espn
Tim Settle,teamID,Free Agent,WAS,espn
Sydney Brown,teamID,PHI,ATL,espn
Aaron Stinnie,teamID,Free Agent,NYG,espn
Laquon Treadwell,teamID,Free Agent,IND,espn
Corey Kiner,teamID,Free Agent,NE,espn
Gunner Olszewski,teamID,Free Agent,NYG,espn
Nazir Stackhouse,teamID,GB,TEN,espn
Charles Woods,teamID,Free Agent,NE,espn
Fred Johnson,teamID,Free Agent,PHI,espn
Nikko Reed,teamID,LAC,NYG,espn
Cameron Latu,teamID,PHI,NE,espn
Elijah Campbell,teamID,Free Agent,NYG,espn
Princeton Fant,teamID,Free Agent,DAL,espn
A.J. Brown,rating,90,89,
A.J. Brown,teamID,PHI,NE,espn
Jeremiyah Love,rating,81,82,
Jeremiyah Love,teamID,Rookie,ARI,espn
Deebo Samuel Sr.,rating,78,77,
Deebo Samuel Sr.,teamID,Free Agent,SF,espn
Jordyn Tyson,rating,77,76,
Jordyn Tyson,teamID,Rookie,NO,espn
Christen Miller,rating,74,75,
Christen Miller,teamID,Rookie,NO,espn
Chase Bisontis,rating,76,75,
Chase Bisontis,teamID,Rookie,ARI,espn
Kaleb Johnson,rating,73,74,
Kaleb Johnson,teamID,PIT,GB,espn
Sam Williams,rating,72,73,
Sam Williams,position,DE,MLB,
Sam Williams,teamID,DAL,CLE,espn
Noah Gray,rating,74,73,
Noah Gray,teamID,Free Agent,KC,espn
Ogbo Okoronkwo,rating,71,72,
Ogbo Okoronkwo,position,DE,MLB,
Ogbo Okoronkwo,teamID,Free Agent,SF,espn
Aireontae Ersery,rating,72,71,
Aireontae Ersery,teamID,Free Agent,HOU,espn
Rock Ya-Sin,rating,72,71,
Rock Ya-Sin,teamID,Free Agent,DET,espn
Percy Butler,rating,69,70,
Percy Butler,teamID,Free Agent,WAS,espn
Myles Harden,rating,69,70,
Myles Harden,teamID,Free Agent,CLE,espn
Sam Mustipher,rating,70,69,
Sam Mustipher,teamID,DEN,JAX,espn
Malachi Corley,rating,68,69,
Malachi Corley,teamID,Free Agent,CLE,espn
Tyler Goodson,rating,67,68,
Tyler Goodson,teamID,ATL,DAL,espn
Sam Franklin Jr.,rating,69,68,
Sam Franklin Jr.,teamID,Free Agent,BUF,espn
Josh Tupou,rating,68,67,
Josh Tupou,teamID,Free Agent,NYG,espn
Justin Dedich,rating,66,67,
Justin Dedich,teamID,Free Agent,LAR,espn
Matt Peart,rating,66,67,
Matt Peart,teamID,Free Agent,DEN,espn
Nathan Thomas,rating,65,66,
Nathan Thomas,teamID,DAL,Free Agent,espn-demote
Julius Wood,rating,65,66,
Julius Wood,teamID,Free Agent,MIA,espn
Michael Burton,rating,65,66,
Michael Burton,teamID,Free Agent,CLE,espn
Brenden Schooler,rating,65,66,
Brenden Schooler,teamID,Free Agent,NE,espn
Tyrus Wheat,rating,66,65,
Tyrus Wheat,position,DE,MLB,
Tyrus Wheat,teamID,Free Agent,DAL,espn
Myles Hinton,rating,64,65,
Myles Hinton,teamID,PHI,CIN,espn
Jack Heflin,rating,65,64,
Jack Heflin,teamID,Free Agent,NYJ,espn
Quintin Morris,rating,64,63,
Quintin Morris,teamID,Free Agent,JAX,espn
Carl Jones,rating,63,62,
Carl Jones,teamID,Free Agent,BAL,espn
Joe Cardona,rating,61,60,
Joe Cardona,teamID,Free Agent,LAR,espn
Tucker Addington,rating,55,56,
Tucker Addington,teamID,Free Agent,MIA,espn
Feleipe Franks,rating,56,55,
Feleipe Franks,teamID,Free Agent,CAR,espn
Caleb Downs,rating,84,82,
Caleb Downs,teamID,Rookie,DAL,espn
Aaron Rodgers,rating,77,79,
Aaron Rodgers,teamID,Free Agent,PIT,espn
Keldric Faulk,rating,80,78,
Keldric Faulk,teamID,Rookie,TEN,espn
Mitch Wishnowsky,rating,74,76,
Mitch Wishnowsky,teamID,BUF,NE,espn
Dante Fowler Jr.,rating,73,75,
Dante Fowler Jr.,position,DE,MLB,
Dante Fowler Jr.,teamID,Free Agent,SEA,espn
Jaylon Jones,rating,71,73,
Jaylon Jones,teamID,IND,Free Agent,espn-demote
Daniel Faalele,rating,70,72,
Daniel Faalele,teamID,NYG,JAX,espn
Casey Kreiter,rating,68,70,
Casey Kreiter,teamID,Free Agent,ARI,espn
Robert Longerbeam,rating,67,69,
Robert Longerbeam,teamID,BAL,ATL,espn
Tyrod Taylor,rating,67,69,
Tyrod Taylor,teamID,NYJ,GB,espn
Jaylin Simpson,rating,66,68,
Jaylin Simpson,position,CB,S,
Jaylin Simpson,teamID,GB,MIA,espn
Joshua Dobbs,rating,70,68,
Joshua Dobbs,teamID,NE,DET,espn
Jamree Kromah,rating,69,67,
Jamree Kromah,teamID,Free Agent,CHI,espn
Miles Killebrew,rating,65,67,
Miles Killebrew,teamID,Free Agent,TB,espn
Dallis Flowers,rating,68,66,
Dallis Flowers,teamID,Free Agent,CHI,espn
Ryan Miller,rating,68,66,
Ryan Miller,teamID,Free Agent,MIA,espn
Dareke Young,rating,64,66,
Dareke Young,teamID,Free Agent,LV,espn
Jacob Saylors,rating,64,66,
Jacob Saylors,teamID,Free Agent,DET,espn
Leonard Taylor III,rating,67,65,
Leonard Taylor III,teamID,Free Agent,NE,espn
Ben Brown,rating,67,65,
Ben Brown,teamID,Free Agent,NE,espn
Brady Russell,rating,67,65,
Brady Russell,teamID,Free Agent,SEA,espn
Naquan Jones,rating,63,65,
Naquan Jones,teamID,Free Agent,SF,espn
Mitchell Trubisky,rating,63,65,
Mitchell Trubisky,teamID,Free Agent,TEN,espn
Dylan McMahon,rating,62,64,
Dylan McMahon,teamID,Free Agent,LAR,espn
Kevin Knowles,rating,62,64,
Kevin Knowles,teamID,KC,TB,espn
Joey Blount,rating,65,63,
Joey Blount,teamID,Free Agent,ARI,espn
Quinn Ewers,rating,65,63,
Quinn Ewers,teamID,Free Agent,JAX,espn
Nick Muse,rating,64,62,
Nick Muse,teamID,Free Agent,ATL,espn
Cooper Rush,rating,64,62,
Cooper Rush,teamID,Free Agent,ATL,espn
Cameron Jordan,rating,76,79,
Cameron Jordan,teamID,Free Agent,NO,espn
Arvell Reese,rating,82,79,
Arvell Reese,position,OLB,MLB,
Arvell Reese,teamID,Rookie,NYG,espn
Jarran Reed,rating,75,78,
Jarran Reed,teamID,Free Agent,SEA,espn
Darius Slayton,rating,75,78,
Darius Slayton,teamID,NYG,IND,espn
Clark Phillips III,rating,78,75,
Clark Phillips III,teamID,ATL,CHI,espn
Ty Okada,rating,72,75,
Ty Okada,teamID,Free Agent,SEA,espn
Spencer Shrader,rating,77,74,
Spencer Shrader,teamID,Free Agent,IND,espn
Greg Gaines,rating,70,73,
Greg Gaines,teamID,Free Agent,BUF,espn
Jaishawn Barham,rating,76,73,
Jaishawn Barham,position,OLB,MLB,
Jaishawn Barham,teamID,Rookie,DAL,espn
Darrick Forrest,rating,74,71,
Darrick Forrest,teamID,Free Agent,SF,espn
Ja'Sir Taylor,rating,68,71,
Ja'Sir Taylor,teamID,Free Agent,CIN,espn
Broderick Jones,rating,74,71,
Broderick Jones,teamID,PIT,DAL,espn
Cameron Thomas,rating,73,70,
Cameron Thomas,teamID,Free Agent,ATL,espn
Nick Moore,rating,67,70,
Nick Moore,teamID,Free Agent,BAL,espn
Jaden Crumedy,rating,73,70,
Jaden Crumedy,teamID,GB,HOU,espn
Emari Demercado,rating,73,70,
Emari Demercado,teamID,KC,DAL,espn
Grant Calcaterra,rating,66,69,
Grant Calcaterra,teamID,Free Agent,PHI,espn
Darrell Luter Jr.,rating,66,69,
Darrell Luter Jr.,teamID,SF,LV,espn
Drew Sample,rating,65,68,
Drew Sample,teamID,Free Agent,CIN,espn
Marcus Mbow,rating,64,67,
Marcus Mbow,teamID,Free Agent,NYG,espn
Beaux Collins,rating,64,67,
Beaux Collins,teamID,Free Agent,ATL,espn
Robert Tonyan,rating,70,67,
Robert Tonyan,teamID,Free Agent,PIT,espn
Ben VanSumeren,rating,64,67,
Ben VanSumeren,teamID,Free Agent,KC,espn
Tay Martin,rating,64,67,
Tay Martin,teamID,Free Agent,DET,espn
Sedrick Van Pran-Granger,teamID,BUF,IND,espn
Luke Wypler,rating,69,66,
Luke Wypler,teamID,Free Agent,CLE,espn
Zayne Anderson,rating,63,66,
Zayne Anderson,teamID,Free Agent,MIA,espn
Marcellas Dial Jr.,rating,69,66,
Marcellas Dial Jr.,teamID,NE,MIA,espn
Josh Blackwell,rating,68,65,
Josh Blackwell,teamID,Free Agent,CHI,espn
Tyrell Shavers,rating,62,65,
Tyrell Shavers,teamID,Free Agent,BUF,espn
Matt Dickerson,rating,62,65,
Matt Dickerson,position,DT,DE,
Matt Dickerson,teamID,Free Agent,JAX,espn
Britain Covey,rating,62,65,
Britain Covey,teamID,Free Agent,PHI,espn
Seth McLaughlin,rating,67,64,
Seth McLaughlin,teamID,Free Agent,DET,espn
Skylar Thompson,rating,67,64,
Skylar Thompson,teamID,Free Agent,BAL,espn
Donovan Jennings,rating,61,64,
Donovan Jennings,teamID,Free Agent,GB,espn
Yasir Abdullah,rating,67,64,
Yasir Abdullah,position,OLB,MLB,
Yasir Abdullah,teamID,JAX,ATL,espn
Brayden Willis,rating,66,63,
Brayden Willis,teamID,Free Agent,SF,espn
AJ Finley,teamID,Free Agent,SEA,espn
William Wagner,rating,60,63,
William Wagner,teamID,Free Agent,CIN,espn
Tanner Ingle,teamID,Free Agent,LAR,espn
Cal Adomitis,rating,60,63,
Cal Adomitis,teamID,Free Agent,NO,espn
Case Keenum,rating,60,63,
Case Keenum,teamID,Free Agent,CHI,espn
Chris Stoll,rating,59,62,
Chris Stoll,teamID,Free Agent,SEA,espn
Tristin McCollum,rating,59,62,
Tristin McCollum,teamID,Free Agent,LV,espn
Rasul Douglas,rating,78,77,
Rasul Douglas,teamID,MIA,WAS,espn
Carnell Tate,rating,81,77,
Carnell Tate,teamID,Rookie,TEN,espn
Darnell Mooney,rating,75,76,
Darnell Mooney,teamID,ATL,NYG,espn
Roger McCreary,rating,72,76,
Roger McCreary,teamID,Free Agent,DET,espn
Nate Hobbs,rating,72,76,
Nate Hobbs,teamID,GB,SF,espn
Jahlani Tavai,rating,74,75,
Jahlani Tavai,teamID,NE,JAX,espn
Montaric Brown,rating,78,74,
Montaric Brown,teamID,Free Agent,JAX,espn
Ben Bredeson,rating,70,74,
Ben Bredeson,teamID,Free Agent,TB,espn
Ozzy Trapilo,rating,72,73,
Ozzy Trapilo,teamID,Free Agent,CHI,espn
Odell Beckham Jr.,rating,72,73,
Odell Beckham Jr.,teamID,Free Agent,NYG,espn
Starling Thomas,rating,69,73,
Starling Thomas,teamID,Free Agent,ARI,espn
Tyree Wilson,rating,69,73,
Tyree Wilson,teamID,LV,NO,espn
Isaac Yiadom,rating,68,72,
Isaac Yiadom,teamID,NO,WAS,espn
Lucas Patrick,rating,76,72,
Lucas Patrick,teamID,NYG,WAS,espn
Darrell Jackson Jr.,rating,73,72,
Darrell Jackson Jr.,teamID,Rookie,NYJ,espn
Eli Stowers,rating,76,72,
Eli Stowers,teamID,Rookie,PHI,espn
Jaleel McLaughlin,rating,70,71,
Jaleel McLaughlin,teamID,DEN,CLE,espn
Jerry Tillery,rating,72,71,
Jerry Tillery,teamID,Free Agent,IND,espn
Fabian Moreau,rating,67,71,
Fabian Moreau,teamID,Free Agent,WAS,espn
Jarrett Patterson,rating,66,70,
Jarrett Patterson,position,C,OG,
Jarrett Patterson,teamID,HOU,SF,espn
Kendrick Law,rating,71,70,
Kendrick Law,teamID,Rookie,DET,espn
Beau Stephens,rating,66,70,
Beau Stephens,teamID,Rookie,SEA,espn
Tyler Badie,rating,70,69,
Tyler Badie,teamID,Free Agent,DEN,espn
Kevin Coleman Jr.,rating,70,69,
Kevin Coleman Jr.,teamID,Rookie,MIA,espn
Ahmed Hassanein,rating,72,68,
Ahmed Hassanein,teamID,Free Agent,DET,espn
Drew Lock,rating,64,68,
Drew Lock,teamID,Free Agent,SEA,espn
Andrew Beck,rating,64,68,
Andrew Beck,teamID,Free Agent,NYJ,espn
Tim Smith,rating,63,67,
Tim Smith,teamID,Free Agent,IND,espn
Kene Nwangwu,rating,71,67,
Kene Nwangwu,teamID,Free Agent,NYJ,espn
Chukwuebuka Godrick,rating,66,67,
Chukwuebuka Godrick,teamID,Free Agent,MIA,espn
J.C. Davis,rating,66,67,
J.C. Davis,teamID,Rookie,NYG,espn
Jayden Price,rating,70,66,
Jayden Price,teamID,Free Agent,NO,espn
Ronnie Rivers,rating,70,66,
Ronnie Rivers,teamID,Free Agent,LAR,espn
Montorie Foster,rating,62,66,
Montorie Foster,teamID,Free Agent,SEA,espn
Daniel Thomas,rating,62,66,
Daniel Thomas,teamID,Free Agent,CLE,espn
Morgan Cox,rating,62,66,
Morgan Cox,teamID,Free Agent,TEN,espn
Trey Sermon,rating,62,66,
Trey Sermon,teamID,Free Agent,ATL,espn
Hayden Conner,rating,69,65,
Hayden Conner,teamID,Free Agent,ARI,espn
Austen Pleasants,rating,61,65,
Austen Pleasants,teamID,Free Agent,SF,espn
Aiden Fisher,rating,66,65,
Aiden Fisher,position,OLB,MLB,
Aiden Fisher,teamID,Rookie,HOU,espn
Keith Cooper Jr.,rating,68,64,
Keith Cooper Jr.,teamID,Free Agent,MIA,espn
Kayode Awosika,rating,63,64,
Kayode Awosika,teamID,Free Agent,LAC,espn
Jonathan Ford,rating,64,63,
Jonathan Ford,teamID,Free Agent,GB,espn
Jake Haener,rating,66,62,
Christian Kuntz,rating,66,62,
Christian Kuntz,teamID,Free Agent,PIT,espn
Brittain Brown,rating,63,62,
Brittain Brown,teamID,Free Agent,CHI,espn
Hayden Rucci,rating,65,61,
Hayden Rucci,teamID,Free Agent,LAC,espn
Tommy DeVito,rating,65,61,
Tommy DeVito,teamID,Free Agent,NE,espn
Kyle Allen,rating,56,60,
Kyle Allen,teamID,Free Agent,BUF,espn
Milo Eifler,rating,61,57,
Milo Eifler,teamID,Free Agent,TEN,espn
DeMario Davis,rating,85,90,
DeMario Davis,teamID,NO,NYJ,espn
Calais Campbell,rating,77,82,
Calais Campbell,position,DT,DE,
Calais Campbell,teamID,Free Agent,BAL,espn
Jauan Jennings,rating,76,81,
Jauan Jennings,teamID,Free Agent,MIN,espn
Spencer Fano,rating,77,79,
Spencer Fano,teamID,Rookie,CLE,espn
Micah McFadden,rating,70,75,
Micah McFadden,teamID,Free Agent,NYG,espn
Germie Bernard,rating,80,75,
Germie Bernard,teamID,Rookie,PIT,espn
Max Iheanachor,rating,80,75,
Max Iheanachor,teamID,Rookie,PIT,espn
Braxton Jones,rating,69,74,
Braxton Jones,teamID,Free Agent,CHI,espn
Davison Igbinosun,rating,79,74,
Davison Igbinosun,teamID,Rookie,BUF,espn
Derek Barnett,rating,68,73,
Derek Barnett,teamID,Free Agent,CLE,espn
Markel Bell,rating,71,73,
Markel Bell,teamID,Rookie,PHI,espn
Joshua Josephs,rating,77,72,
Joshua Josephs,position,DE,MLB,
Joshua Josephs,teamID,Rookie,WAS,espn
Tanoh Kpassagnon,rating,66,71,
Tanoh Kpassagnon,teamID,Free Agent,TEN,espn
Darius Muasau,rating,64,69,
Darius Muasau,teamID,Free Agent,NE,espn
Byron Young,rating,64,69,
Byron Young,teamID,Free Agent,PHI,espn
Xavier Smith,rating,66,68,
Xavier Smith,teamID,Free Agent,LAR,espn
Jaylen Reed,rating,63,68,
Jaylen Reed,teamID,HOU,NE,espn
Johnny Mundt,rating,73,68,
Johnny Mundt,teamID,JAX,PHI,espn
Brian Parker II,rating,70,68,
Brian Parker II,position,OG,OT,
Brian Parker II,teamID,Rookie,CIN,espn
Chris Blair,rating,69,67,
Chris Blair,teamID,Free Agent,ATL,espn
Eric Saubert,rating,62,67,
Eric Saubert,teamID,Free Agent,SEA,espn
Daniel Hardy,rating,62,67,
Daniel Hardy,teamID,Free Agent,CHI,espn
Braiden McGregor,rating,62,67,
Braiden McGregor,teamID,Free Agent,NYJ,espn
Christian Braswell,rating,64,66,
Christian Braswell,teamID,Free Agent,JAX,espn
Jalen Davis,rating,61,66,
Jalen Davis,teamID,Free Agent,CIN,espn
Bryce Cabeldue,rating,68,66,
Bryce Cabeldue,teamID,SEA,LV,espn
Bill Murray,rating,70,65,
Bill Murray,teamID,Free Agent,LAR,espn
Marcelino McCrary-Ball,rating,59,64,
Marcelino McCrary-Ball,position,OLB,MLB,
Marcelino McCrary-Ball,teamID,Free Agent,NYJ,espn
Storm Duck,rating,68,63,
Storm Duck,teamID,Free Agent,MIA,espn
Atonio Mafi,rating,60,62,
Atonio Mafi,teamID,Free Agent,TEN,espn
Stefon Diggs,rating,80,86,
Stefon Diggs,teamID,Free Agent,WAS,espn
Bobby Okereke,rating,77,83,
Bobby Okereke,teamID,NYG,CAR,espn
Harrison Phillips,rating,72,78,
Harrison Phillips,teamID,Free Agent,NYJ,espn
R Mason Thomas,teamID,Rookie,KC,espn
Greg Van Roten,rating,70,76,
Greg Van Roten,teamID,Free Agent,NE,espn
Jonnu Smith,rating,70,76,
Jonnu Smith,teamID,Free Agent,GB,espn
Tutu Atwell,rating,78,75,
Tutu Atwell,teamID,MIA,LAR,espn
Nathan Shepherd,rating,71,74,
Nathan Shepherd,teamID,Free Agent,NO,espn
Damar Hamlin,rating,67,73,
Damar Hamlin,teamID,Free Agent,BUF,espn
Malik Davis,rating,67,73,
Malik Davis,teamID,Free Agent,DAL,espn
Mike Ford,rating,66,72,
Mike Ford,teamID,Free Agent,ATL,espn
Genesis Smith,rating,75,72,
Genesis Smith,teamID,Rookie,LAC,espn
Jalen Farmer,rating,75,72,
Jalen Farmer,teamID,Rookie,IND,espn
Ethan Pocic,rating,76,70,
Ethan Pocic,teamID,Free Agent,BAL,espn
David Sills,rating,66,69,
David Sills,teamID,Free Agent,TB,espn
Dominique Robinson,rating,63,69,
Dominique Robinson,teamID,Free Agent,HOU,espn
Rakeem Nunez-Roches,rating,63,69,
Rakeem Nunez-Roches,teamID,Free Agent,TB,espn
Hezekiah Masses,rating,72,69,
Hezekiah Masses,teamID,Rookie,LV,espn
Brevin Jordan,rating,74,68,
Brevin Jordan,teamID,Free Agent,HOU,espn
Carson Wentz,rating,62,68,
Carson Wentz,teamID,Free Agent,MIN,espn
David Long,rating,62,68,
David Long,teamID,Free Agent,NO,espn
Michael Deiter,rating,69,66,
Michael Deiter,teamID,Free Agent,DEN,espn
Ryan Van Demark,rating,70,64,
Ryan Van Demark,teamID,Free Agent,MIN,espn
Malik Herring,rating,60,63,
Malik Herring,teamID,Free Agent,MIA,espn
Alex Ward,rating,56,62,
Alex Ward,teamID,Free Agent,LV,espn
Colson Yankoff,rating,67,61,
Colson Yankoff,teamID,Free Agent,WAS,espn
Scott Daly,rating,53,59,
Scott Daly,teamID,Free Agent,CHI,espn
Harrison Smith,rating,80,87,
Harrison Smith,teamID,Free Agent,MIN,espn
Keenan Allen,rating,75,82,
Keenan Allen,teamID,Free Agent,IND,espn
Jadeveon Clowney,rating,73,80,
Jadeveon Clowney,teamID,Free Agent,HOU,espn
L'Jarius Sneed,rating,73,80,
L'Jarius Sneed,teamID,TEN,KC,espn
Calvin Austin III,rating,69,76,
Calvin Austin III,teamID,Free Agent,NYG,espn
Mekhi Blackmon,rating,69,76,
Mekhi Blackmon,teamID,Free Agent,CLE,espn
Peter Woods,rating,83,76,
Peter Woods,teamID,Rookie,KC,espn
De'Zhaun Stribling,rating,77,76,
De'Zhaun Stribling,teamID,Rookie,SF,espn
Emmanuel McNeil-Warren,rating,79,75,
Emmanuel McNeil-Warren,teamID,Rookie,CLE,espn
John Metchie III,rating,66,73,
John Metchie III,teamID,Free Agent,CAR,espn
Ameer Abdullah,rating,66,73,
Ameer Abdullah,teamID,Free Agent,JAX,espn
Solomon Thomas,rating,65,72,
Solomon Thomas,teamID,Free Agent,TEN,espn
Devin Moore,rating,75,71,
Devin Moore,teamID,Rookie,DAL,espn
Will Lee III,rating,78,71,
Will Lee III,teamID,Rookie,CAR,espn
Anthony Belton,rating,63,70,
Anthony Belton,teamID,Free Agent,GB,espn
Jon Weeks,rating,62,69,
Jon Weeks,teamID,Free Agent,SF,espn
Jude Bowry,rating,73,69,
Jude Bowry,teamID,Rookie,BUF,espn
Darius Cooper,rating,61,68,
Darius Cooper,teamID,Free Agent,PHI,espn
Jalen Brooks,rating,61,68,
Jalen Brooks,teamID,Free Agent,ARI,espn
Otito Ogbonnia,rating,61,68,
Otito Ogbonnia,teamID,Free Agent,DAL,espn
Drew Shelton,rating,72,68,
